"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-02-22",,,"0.04",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-02-23",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-02-24",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-02-25",,,"0.05",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-02-26",,,"0.03",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-02-27",,,"0.03",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-02-28",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-02-29",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-03-01",,,"0.71",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-03-02",,,"0.47",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-03-03",,,"0.35",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-03-04",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-03-05",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-03-06",,,"0.56",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-03-07",,,"0.82",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-03-08",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-03-09",,,"0.05",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-03-10",,,"0.72",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-03-11",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-03-12",,,"0.02",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-03-13",,,"0.33",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-03-14",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-03-15",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-03-16",,,"0.44",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-03-17",,,"0.71",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-03-18",,,"1.61",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-03-19",,,"0.31",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-03-20",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-03-21",,,"0.03",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-03-22",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-03-23",,,"0.31",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-03-24",,,"0.10",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-03-25",,,"0.73",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-03-26",,,"0.22",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-03-27",,,"0.34",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-03-28",,,"0.66",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-03-29",,,"0.62",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-03-30",,,"0.09",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-03-31",,,"0.03",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-04-01",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-04-02",,,"0.40",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-04-03",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-04-04",,,"0.01",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-04-05",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-04-06",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-04-07",,,"0.66",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-04-08",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-04-09",,,"0.13",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-04-10",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-04-11",,,"0.03",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-04-12",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-04-13",,,"1.09",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-04-14",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-04-15",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-04-16",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-04-17",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-04-18",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-04-19",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-04-20",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-04-21",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-04-22",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-04-23",,,"0.01",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-04-24",,,"0.05",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-04-25",,,"0.10",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-04-26",,,"0.01",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-04-27",,,"0.07",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-04-28",,,"0.06",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-04-29",,,"0.13",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-04-30",,,"0.06",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-05-01",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-05-02",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-05-03",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-05-04",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-05-05",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-05-06",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-05-07",,,"0.20",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-05-08",,,"0.07",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-05-09",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-05-10",,,"0.03",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-05-11",,,"0.05",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-05-12",,,"0.05",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-05-13",,,"0.15",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-05-14",,,"0.05",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-05-15",,,"0.01",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-05-16",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-05-17",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-05-18",,,"0.02",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-05-19",,,"0.20",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-05-20",,,"0.14",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-05-21",,,"0.05",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-05-22",,,"0.56",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-05-23",,,"0.06",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-05-24",,,"0.03",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-05-25",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-05-26",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-05-27",,,"0.06",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-05-28",,,"0.07",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-05-29",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-05-30",,,"0.01",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-05-31",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-06-01",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-06-02",,,"0.08",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-06-03",,,"0.04",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-06-04",,,"0.08",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-06-05",,,"0.12",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-06-06",,,"0.03",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-06-07",,,"0.17",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-06-08",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-06-09",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-06-10",,,"0.17",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-06-11",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-06-12",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-06-13",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-06-14",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-06-15",,,"0.07",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-06-16",,,"0.39",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-06-17",,,"0.26",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-06-18",,,"0.15",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-06-19",,,"0.07",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-06-20",,,"0.34",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-06-21",,,"0.25",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-06-22",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-06-23",,,"0.02",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-06-24",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-06-25",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-06-26",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-06-27",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-06-28",,,"0.19",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-07-02",,,,,,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-07-03",,,"0.16",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-07-04",,,"0.84",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-07-05",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-07-06",,,"0.02",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-07-07",,,"0.29",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-07-08",,,"0.05",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-07-09",,,"0.15",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-07-10",,,"0.05",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-07-11",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-07-12",,,"0.00",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-07-13",,,"0.38",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-07-14",,,"0.25",",,7,0800",,,,,,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-07-15",,,"0.12",",,7,0800",,,,,,,,,,,,,,
